"idaction","name","hash","type","url_prefix"
1,"Great IT",1347093761,4,"NULL"
2,"greatit.se/",1961771814,1,2
3,"Affärsområden - Great IT",634563595,4,"NULL"
4,"greatit.se/affarsomraden/",1921218776,1,2
5,"Nyheter - Great IT",1503337390,4,"NULL"
6,"greatit.se/nyheter/",448376311,1,2
7,"Privacy – ett nytt affärsområde inom Great Incubator - Great IT",4106167215,4,"NULL"
8,"greatit.se/nyheter/privacy-ett-nytt-affarsomrade-inom-great-incubator/",2897985337,1,2
9,"http://themes.piwik.org",1728082034,2,"NULL"
10,"Product 1",464937267,13,"NULL"
11,"/path/product1.jpg",2418694248,14,"NULL"
12,"http://product1.example.com",1109378122,15,"NULL"
13,"Buy Product 1 Now!",225547170,14,"NULL"
14,"Product 2",2193567881,13,"NULL"
15,"/path/product2.jpg",3616154296,14,"NULL"
16,"http://demo.sajt/product2",3415488853,15,"NULL"
17,"Product 3",4122476575,13,"NULL"
18,"Product 3 on sale",88912566,14,"NULL"
19,"http://product3.example.com",574845185,15,"NULL"
20,"Product 4",1809618364,13,"NULL"
21,"Unknown",1654365787,14,"NULL"
22,"click",3136733728,16,"NULL"
23,"dolore",728712822,8,"NULL"
24,"Commodi veritatis quos et aut officia porro.",4041248939,4,"NULL"
25,"demo.sajt/downloads",843192151,1,0
26,"demo.sajt/downloads",843192151,10,0
27,"play",1586093754,11,"NULL"
28,"Movies",3249727494,10,"NULL"
29,"Movie Name",967345403,12,"NULL"
30,"stop",3109426870,11,"NULL"
31,"et",238762040,8,"NULL"
32,"http://dev.piwik.org",3944638363,2,"NULL"
33,"SKU-9884",216347507,5,"NULL"
34,"Test Product",2918691133,6,"NULL"
35,"Sale",1165586235,7,"NULL"
36,"Men only",1016514165,7,"NULL"
37,"Music Category",3663156077,7,"NULL"
38,"Sports",1952840746,7,"NULL"
39,"rem",2210260779,8,"NULL"
40,"http://developer.piwik.org?pk_campaign=Email-Nov2011&amp;pk_medium=email&amp;pk_content=text&amp;pk_placement=bottom",2181413999,2,"NULL"
41,"voluptas",2982855068,8,"NULL"
42,"http://github.com/piwik",2116900772,2,"NULL"
43,"ut",1157180009,8,"NULL"
44,"Neque suscipit magnam repudiandae optio.",3779279452,4,"NULL"
45,"demo.sajt/docs/tracking-api/reference/",3920146875,1,0
46,"http://piwik.org",750415376,2,"NULL"
47,"demo.sajt/docs/tracking-api/reference/",3920146875,10,0
48,"http://demo.sajt/piwik-1.9.3-b10.zip",522343704,3,"NULL"
49,"In et sint quis dolorem voluptas molestiae.",3615810679,4,"NULL"
50,"demo.sajt/blog/2012/11/conference-sur-piwik-le-samedi-24-novembre-a-supinfo-paris/",3304829746,1,0
51,"Odit quasi dicta quia aspernatur veniam esse.",2215107755,4,"NULL"
52,"demo.sajt/blog/2010/02/piwik-response-to-zend-framework-security-advisory-zf2010-01/",2101896847,1,0
53,"Sed odit et corporis iste.",1537482816,4,"NULL"
54,"demo.sajt/docs/tracking.api/",3169823789,1,0
55,"demo.sajt/docs/tracking.api/",3169823789,10,0
56,"Aliquam cumque enim et.",2243090857,4,"NULL"
57,"demo.sajt/blog/2011/10/piwik-mobile-1-6-1/",3151021892,1,0
58,"http://demo.sajt/blog/2011/10/piwik-mobile-1-6-1/",3152262229,13,"NULL"
59,"Voluptatem iusto alias nemo.",1442138773,4,"NULL"
60,"demo.sajt/privacy/",2596313334,1,0
61,"Iste praesentium doloremque saepe saepe.",3109101232,4,"NULL"
62,"demo.sajt/blog/2008/01/hello-the-web-analytics-world/",2303367469,1,0
63,"Sed accusamus consequatur officiis vero et fuga possimus.",308731193,4,"NULL"
64,"demo.sajt/blog/2013/04/piwik-speaks-your-language/",1824597866,1,0
65,"Ipsa aut a libero aliquam illo dolor.",2260978404,4,"NULL"
66,"demo.sajt/trac/login",2966382995,1,0
67,"Omnis delectus et et et eius iusto minima quae.",2682630858,4,"NULL"
68,"demo.sajt/技術文書",3069850907,1,0
69,"demo.sajt/技術文書",3069850907,10,0
70,"Eveniet eum eum perferendis aut.",3060640849,4,"NULL"
71,"Aperiam quis totam ut illo impedit quia et.",2749379005,4,"NULL"
72,"demo.sajt/blog/integrate/codeigniter-library-for-piwik/",3774534655,1,0
73,"Maiores delectus repellendus modi porro eum.",4169020235,4,"NULL"
74,"demo.sajt/blog/2012/07/piwik-high-scale-performance-report-as-of-july-2012/",398112725,1,0
75,"Awesome Product",3797231986,6,"NULL"
76,"Rerum a sed tempore accusantium.",1498299058,4,"NULL"
77,"demo.sajt/register",3002205725,1,0
78,"Second hand",1580925672,7,"NULL"
79,"Helpful Product",6772486,6,"NULL"
80,"SKU-5498",1602488517,5,"NULL"
81,"Ducimus dolore unde hic.",1637461552,4,"NULL"
82,"demo.sajt/docs/plugins/hooks/",1597347202,1,0
83,"Consequatur animi impedit nihil excepturi.",511773025,4,"NULL"
84,"demo.sajt/press-review/",679118693,1,0
85,"Omnis culpa assumenda minus est qui nihil alias.",670955813,4,"NULL"
86,"demo.sajt/FAQ/",2643338757,1,0
87,"Sit alias aut eos qui aliquam voluptatum.",839981355,4,"NULL"
88,"demo.sajt/%20mobile/",3305125341,1,0
89,"Excepturi in molestiae odit incidunt doloremque.",773336036,4,"NULL"
90,"demo.sajt/blog/2012/06/piwik-1-8/",1656779796,1,0
91,"demo.sajt/blog/2012/06/piwik-1-8/",1656779796,10,0
92,"Nam et ut velit numquam culpa velit distinctio reprehenderit.",2347538823,4,"NULL"
93,"demo.sajt/faq/how-to/fdjkghdkj",3161787003,1,0
94,"Voluptatem qui similique unde dignissimos reprehenderit.",3965735035,4,"NULL"
95,"demo.sajt/blog/2012/01/piwik-best-alternative-to-urchin-web-analytics-via-log-files-import/",1571268072,1,0
96,"Et doloremque aliquid ut esse dolores minima laborum.",3833728814,4,"NULL"
97,"demo.sajt/blog/integrate/silex-plugin/",1138296873,1,0
98,"Maiores est maxime cupiditate aspernatur nisi veritatis.",3999407230,4,"NULL"
99,"Temporibus commodi adipisci libero officiis est distinctio incidunt.",3617568944,4,"NULL"
100,"demo.sajt/blog/2008/06/new-plugin-wordpress-piwik-integration/",463337935,1,0
101,"Provident eaque incidunt ut qui fugiat.",1271439552,4,"NULL"
102,"demo.sajt/blog/2010/06/piwik-0-6-3/",2610866713,1,0
103,"demo.sajt/blog/2010/06/piwik-0-6-3/",2610866713,10,0
104,"Et cum omnis rerum qui eos sit velit.",3679746673,4,"NULL"
105,"demo.sajt/piwikとは",259814193,1,0
106,"Magnam voluptatem autem nemo deleniti facilis autem modi.",242058939,4,"NULL"
107,"demo.sajt/blog/2009/04/if-you-need-to-serve-ads-on-your-website-check-out-openx-ad-server-28/?pk_source=google-ads&pk_medium=email&pk_group=guest&pk_placement=external",2839622436,1,0
108,"demo.sajt/blog/2009/04/if-you-need-to-serve-ads-on-your-website-check-out-openx-ad-server-28/?pk_source=google-ads&pk_medium=email&pk_group=guest&pk_placement=external",2839622436,10,0
109,"Another Movie",2345964935,12,"NULL"
110,"Earum sit eius ut.",725634457,4,"NULL"
111,"demo.sajt/participate/coding-standards/",901823425,1,0
112,"http://plugins.piwik.org",296089926,2,"NULL"
113,"http://demo.sajt/participate/coding-standards/",1406228932,13,"NULL"
114,"submit",1060221763,16,"NULL"
115,"Voluptate laboriosam nisi sit eaque unde aliquam.",2455194344,4,"NULL"
116,"demo.sajt/blog/2012/07/piwik-japan-team-exhibited-at-the-interop-tokyo-2012-convention/",3628758779,1,0
117,"SKU-1658",2144797936,5,"NULL"
118,"Hic ab perferendis iste explicabo commodi dolorem.",1899170563,4,"NULL"
119,"demo.sajt/機能説明",2526018512,1,0
120,"Sapiente quam qui quia vel dolore qui.",2538238687,4,"NULL"
121,"demo.sajt/docs/tracking-goals-web-analytics/",1294854752,1,0
122,"Id autem autem iusto rem doloremque.",1770602241,4,"NULL"
123,"demo.sajt/blog/2012/05/piwik-mobile-1-8/",1282767210,1,0
124,"Enim nisi minima eaque accusantium aut.",3875993014,4,"NULL"
125,"demo.sajt/blog/2012/10/wordpress-integration-with-wp-piwik/",3773406076,1,0
126,"Et sit est aperiam aut et veritatis sapiente.",877972554,4,"NULL"
127,"demo.sajt/demo/libs/open-flash-chart/open-flash-chart.swf?v2i",2208506246,1,0
128,"Qui molestiae qui consequatur cupiditate quos nemo.",4282115951,4,"NULL"
129,"demo.sajt/docs/analytics-api/",2480467957,1,0
130,"Ut soluta a voluptas.",519930184,4,"NULL"
131,"demo.sajt/t",3973215862,1,0
132,"demo.sajt/t",3973215862,10,0
133,"Voluptatem repellat ea quod dolore rerum adipisci ullam adipisci.",645707523,4,"NULL"
134,"demo.sajt/blog/2009/10/piwik-response-to-secunia-advisory-sa37078/",2529871714,1,0
135,"Non voluptatum non in excepturi ut sit consequuntur eos.",3994136181,4,"NULL"
136,"demo.sajt/download-piwik/",346496670,1,0
137,"SKU-1238",780405674,5,"NULL"
