"idvisit","idsite","idvisitor","server_time","idaction_url","idlink_va","idgoal","buster","idorder","items","url","revenue","revenue_shipping","revenue_subtotal","revenue_tax","revenue_discount","pageviews_before","visitor_returning","visitor_seconds_since_first","visitor_seconds_since_order","visitor_count_visits","referer_keyword","referer_name","referer_type","config_browser_name","config_client_type","config_device_brand","config_device_model","config_device_type","location_city","location_country","location_latitude","location_longitude","location_region","custom_dimension_1","custom_dimension_2","custom_dimension_3","custom_dimension_4","custom_dimension_5"
4,2,0x127e4d0b87db6497,"2023-10-22 01:03:03","NULL","NULL",-1,0,"NULL",1,"",50.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","NULL",1,"CM",1,"","generic desktop",0,"Kirstinstad","cf",1.311007,-145.917691,"HK","NULL","NULL","NULL","NULL","NULL"
19,2,0x5290f06700fb9107,"2023-10-22 23:21:20","NULL","NULL",0,2123025968,"97244",1,"",21.66,0.95,19.0,3.61,1.9,"NULL",1,67596,0,4,"NULL","www.example.org",3,"CM",1,"","generic desktop",0,"Mayertview","lu",30.483750,-83.584057,"D","NULL","NULL","NULL","NULL","NULL"
45,2,0x1001b22c8e4adeb7,"2023-10-22 04:26:41","NULL","NULL",-1,0,"NULL",2,"",50.0,"NULL","NULL","NULL","NULL","NULL",1,12263,"NULL",4,"NULL","www.brekke.info",3,"IE",1,"","generic desktop",0,"Desireemouth","je",-8.954974,-133.731556,"09","NULL","NULL","NULL","NULL","NULL"
48,2,0x1001b22c8e4adeb7,"2023-10-22 17:26:18","NULL","NULL",0,2654550562,"63611",2,"",15.96,0.7,14.0,2.66,1.4,"NULL",1,60461,0,4,"NULL","www.becker.com",3,"IE",1,"","generic desktop",0,"Wiegandton","eg",-59.445874,-174.563483,"PTS","NULL","NULL","NULL","NULL","NULL"
57,2,0x1001b22c8e4adeb7,"2023-10-22 19:48:02","NULL","NULL",-1,0,"NULL",4,"",50.0,"NULL","NULL","NULL","NULL","NULL",1,68965,8504,5,"qui","Bing",2,"FF",1,"","generic mobile","NULL","Kaylahview","fr",23.188505,-43.896565,"91","NULL","NULL","NULL","NULL","NULL"
58,2,0x1001b22c8e4adeb7,"2023-10-22 21:44:43","NULL","NULL",-1,0,"NULL",1,"",50.0,"NULL","NULL","NULL","NULL","NULL",2,75966,15505,6,"modi","Bing",2,"CM",1,"","generic desktop",0,"North Uniqueton","cf",-50.179822,-24.035557,"HK","NULL","NULL","NULL","NULL","NULL"
60,2,0x4f4c425654b7cb0c,"2023-10-22 17:31:06","NULL","NULL",-1,0,"NULL",2,"",50.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","NULL",1,"FF",1,"","generic desktop",0,"Volkmanview","eh",18.398985,-15.229681,"13","NULL","NULL","NULL","NULL","NULL"
63,2,0xe4002ba0f2c2dd70,"2023-10-22 04:18:38","NULL","NULL",0,700155366,"2023-10-22-sfg1037nsjusu4s3894",1,"",20.0,100.0,1500.0,400.0,"NULL","NULL",0,0,0,1,"NULL","piwik.org",3,"SF",1,"AP","generic desktop",0,"Norwalk","us",41.142000,-73.427000,"CT","NULL","NULL","NULL","NULL","NULL"
63,2,0xe4002ba0f2c2dd70,"2023-10-22 04:18:38","NULL","NULL",0,1104674006,"2023-10-22-937nsjusu 3894",8,"",1111.11,0.11,1000.0,111.0,666.0,"NULL",0,0,0,1,"NULL","piwik.org",3,"SF",1,"AP","generic desktop",0,"Norwalk","us",41.142000,-73.427000,"CT","NULL","NULL","NULL","NULL","NULL"
63,2,0xe4002ba0f2c2dd70,"2023-10-22 04:18:38","NULL","NULL",0,1491885554,"2023-10-22-666",2,"",240.0,20.0,200.0,20.0,20.0,"NULL",0,0,0,1,"NULL","piwik.org",3,"SF",1,"AP","generic desktop",0,"Norwalk","us",41.142000,-73.427000,"CT","NULL","NULL","NULL","NULL","NULL"
63,2,0xe4002ba0f2c2dd70,"2023-10-22 04:18:38","NULL","NULL",0,1647725233,"2023-10-22-s1037nsjusu4s3894",10,"",20.0,100.0,1500.0,400.0,"NULL","NULL",0,0,0,1,"NULL","piwik.org",3,"SF",1,"AP","generic desktop",0,"Norwalk","us",41.142000,-73.427000,"CT","NULL","NULL","NULL","NULL","NULL"
63,2,0xe4002ba0f2c2dd70,"2023-10-22 04:18:38","NULL","NULL",0,2445375105,"2023-10-22-1037nsjusu4s3894",1,"",2000.0,100.0,1500.0,400.0,"NULL","NULL",0,0,0,1,"NULL","piwik.org",3,"SF",1,"AP","generic desktop",0,"Norwalk","us",41.142000,-73.427000,"CT","NULL","NULL","NULL","NULL","NULL"
63,2,0xe4002ba0f2c2dd70,"2023-10-22 04:18:38","NULL","NULL",0,3207313506,"2023-10-22-777",0,"",10000.0,"NULL","NULL","NULL","NULL","NULL",0,0,0,1,"NULL","piwik.org",3,"SF",1,"AP","generic desktop",0,"Norwalk","us",41.142000,-73.427000,"CT","NULL","NULL","NULL","NULL","NULL"
64,2,0x93d5d438d1c06c9f,"2023-10-22 04:18:38","NULL","NULL",0,3929777149,"2023-10-22-76677",2,"",250.0,"NULL","NULL","NULL","NULL","NULL",2,0,0,1,"NULL","piwik.org",3,"SF",1,"AP","generic desktop",0,"Norwalk","us",41.142000,-73.427000,"CT","NULL","NULL","NULL","NULL","NULL"
270,2,0xc9b0e3e9a027cc1b,"2023-10-22 02:07:09","NULL","NULL",-1,0,"NULL",0,"",0.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"CH",1,"","generic desktop",0,"Paris","fr",48.857000,2.352000,"IDF","NULL","NULL","NULL","NULL","NULL"
272,2,0x581a76588b2f1e1e,"2023-10-22 06:37:35","NULL","NULL",-1,0,"NULL",0,"",0.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"SF",1,"AP","generic desktop",0,"Lyon","fr",45.764000,4.836000,"ARA","NULL","NULL","NULL","NULL","NULL"
273,2,0x78c4dcb961fc07cb,"2023-10-22 08:39:55","NULL","NULL",-1,0,"NULL",3,"",62.5,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"CH",1,"","generic desktop",0,"Paris","fr",48.857000,2.352000,"IDF","NULL","NULL","NULL","NULL","NULL"
274,2,0xbed7ec78916310ba,"2023-10-22 08:43:02","NULL","NULL",-1,0,"NULL",1,"",25.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"","example",6,"AN",1,"PL","MIDC128",2,"Nogent-sur-Oise","fr",49.279000,2.465000,"HDF","NULL","NULL","NULL","NULL","NULL"
275,2,0x1997803a9fba660d,"2023-10-22 09:16:45","NULL","NULL",-1,0,"NULL",13,"",32.5,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"MF",1,"AP","iPod Touch",9,"Nanterre","fr",48.892000,2.215000,"IDF","NULL","NULL","NULL","NULL","NULL"
276,2,0x4f46e71e2d0ca29c,"2023-10-22 09:11:41","NULL","NULL",-1,0,"NULL",1,"",75.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"FF",1,"AP","generic desktop",0,"Paris","fr",48.857000,2.352000,"IDF","NULL","NULL","NULL","NULL","NULL"
277,2,0xeb872a827d7a20a1,"2023-10-22 09:25:49","NULL","NULL",-1,0,"NULL",3,"",55.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"","example-henrys",6,"FF",1,"","generic desktop",0,"Lyon","fr",45.764000,4.836000,"ARA","NULL","NULL","NULL","NULL","NULL"
278,2,0x78c4dcb961fc07cb,"2023-10-22 09:46:10","NULL","NULL",-1,0,"NULL",2,"",28.0,"NULL","NULL","NULL","NULL","NULL",1,4015,"NULL",2,"NULL","referrer.example.org",3,"CH",1,"","generic desktop",0,"Paris","fr",48.857000,2.352000,"IDF","NULL","NULL","NULL","NULL","NULL"
279,2,0x9b0128083ea8e329,"2023-10-22 09:57:24","NULL","NULL",-1,0,"NULL",2,"",42.5,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"CH",1,"","generic desktop",0,"Paris","fr",48.857000,2.352000,"IDF","NULL","NULL","NULL","NULL","NULL"
280,2,0x3ebe8ebe6580b7e9,"2023-10-22 10:02:23","NULL","NULL",-1,0,"NULL",2,"",31.5,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"MF",1,"AP","iPad",2,"Rennes","fr",48.089000,-1.673000,"","NULL","NULL","NULL","NULL","NULL"
281,2,0x3b2f3075cbeb739d,"2023-10-22 10:21:50","NULL","NULL",-1,0,"NULL",1,"",25.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"","example",6,"MF",1,"AP","iPad",2,"Paris","fr",48.857000,2.352000,"IDF","NULL","NULL","NULL","NULL","NULL"
282,2,0xa2d279d76ef36026,"2023-10-22 10:17:52","NULL","NULL",-1,0,"NULL",1,"",25.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"","example",6,"AN",1,"SA","Galaxy Tab 3 10.1"" WiFi",2,"Dijon","fr",47.322000,5.041000,"BFC","NULL","NULL","NULL","NULL","NULL"
283,2,0x4456c2406efe30ff,"2023-10-22 11:02:08","NULL","NULL",-1,0,"NULL",3,"",33.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"MF",1,"AP","iPad",2,"Norwalk","us",41.142000,-73.427000,"CT","NULL","NULL","NULL","NULL","NULL"
284,2,0x26071cdae20124e0,"2023-10-22 11:11:42","NULL","NULL",-1,0,"NULL",2,"",31.5,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"MF",1,"AP","iPad",2,"Paris","fr",48.857000,2.352000,"IDF","NULL","NULL","NULL","NULL","NULL"
285,2,0xb5fde4f58e83302b,"2023-10-22 12:22:34","NULL","NULL",-1,0,"NULL",2,"",39.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"CH",1,"","generic desktop",0,"Rho","it",45.519000,9.086000,"","NULL","NULL","NULL","NULL","NULL"
286,2,0xf197905f9bd269e8,"2023-10-22 12:22:08","NULL","NULL",-1,0,"NULL",2,"",30.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"","jonglerie",6,"CH",1,"","generic desktop",0,"Paris","fr",48.857000,2.352000,"IDF","NULL","NULL","NULL","NULL","NULL"
287,2,0xfc81c3a7377fbc6d,"2023-10-22 12:41:20","NULL","NULL",-1,0,"NULL",2,"",37.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"","bolas",6,"CH",1,"","generic desktop",0,"Dijon","fr",47.322000,5.041000,"BFC","NULL","NULL","NULL","NULL","NULL"
288,2,0x6d33aa8db71d34aa,"2023-10-22 13:02:55","NULL","NULL",-1,0,"NULL",2,"",50.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"SF",1,"AP","generic desktop",0,"Guyancourt","fr",48.773000,2.074000,"IDF","NULL","NULL","NULL","NULL","NULL"
289,2,0x24717fc8bf9a1916,"2023-10-22 12:51:38","NULL","NULL",-1,0,"NULL",1,"",27.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"SF",1,"AP","generic desktop",0,"Marseille","fr",43.297000,5.370000,"","NULL","NULL","NULL","NULL","NULL"
290,2,0xc4eae832e3e7b170,"2023-10-22 12:54:38","NULL","NULL",-1,0,"NULL",2,"",37.5,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"CH",1,"","generic desktop",0,"Paris","fr",48.857000,2.352000,"IDF","NULL","NULL","NULL","NULL","NULL"
291,2,0xc26175bc0f1d6a55,"2023-10-22 13:36:06","NULL","NULL",-1,0,"NULL",3,"",41.6,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"CH",1,"","generic desktop",0,"La Colle-sur-Loup","fr",43.687000,7.104000,"","NULL","NULL","NULL","NULL","NULL"
292,2,0x577790d30109d357,"2023-10-22 13:19:56","NULL","NULL",-1,0,"NULL",3,"",36.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"CH",1,"","generic desktop",0,"Jassans-Riottier","fr",45.984000,4.759000,"ARA","NULL","NULL","NULL","NULL","NULL"
293,2,0x5bced745e474b975,"2023-10-22 13:36:02","NULL","NULL",-1,0,"NULL",1,"",22.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"","bolas",6,"FF",1,"AP","generic desktop",0,"Norwalk","us",41.142000,-73.427000,"CT","NULL","NULL","NULL","NULL","NULL"
294,2,0x7ee7ae097257bad6,"2023-10-22 13:49:33","NULL","NULL",-1,0,"NULL",2,"",31.5,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"FF",1,"","generic desktop",0,"Paris","fr",48.857000,2.352000,"IDF","NULL","NULL","NULL","NULL","NULL"
295,2,0x437c33907196287e,"2023-10-22 13:52:38","NULL","NULL",-1,0,"NULL",1,"",25.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"FF",1,"","generic desktop",0,"Brussels","be",50.860000,4.358000,"","NULL","NULL","NULL","NULL","NULL"
