"idsite","idvisitor","server_time","idvisit","idorder","idaction_sku","idaction_name","idaction_category","idaction_category2","idaction_category3","idaction_category4","idaction_category5","price","quantity","deleted"
2,0x127e4d0b87db6497,"2023-10-22 01:03:03",4,"0",33,34,35,36,37,38,0,61.0,1,0
2,0x5290f06700fb9107,"2023-10-22 23:21:20",19,"97244",33,75,37,35,36,0,0,19.0,1,0
2,0x1001b22c8e4adeb7,"2023-10-22 04:26:41",45,"0",179,164,141,0,0,0,0,95.0,2,0
2,0x1001b22c8e4adeb7,"2023-10-22 17:26:18",48,"63611",137,34,37,0,0,0,0,7.0,2,0
2,0x1001b22c8e4adeb7,"2023-10-22 19:48:02",57,"0",33,142,37,78,0,0,0,17.0,4,0
2,0x1001b22c8e4adeb7,"2023-10-22 21:44:43",58,"0",179,164,78,38,37,140,141,5.0,1,0
2,0x4f4c425654b7cb0c,"2023-10-22 17:31:06",60,"0",193,34,38,140,35,0,0,53.0,2,0
2,0xe4002ba0f2c2dd70,"2023-10-22 04:18:38",63,"2023-10-22-1037nsjusu4s3894",212,213,207,0,0,0,0,10.0,1,0
2,0xe4002ba0f2c2dd70,"2023-10-22 04:18:38",63,"2023-10-22-666",205,220,207,0,0,0,0,10.0,1,1
2,0xe4002ba0f2c2dd70,"2023-10-22 04:18:38",63,"2023-10-22-666",214,215,0,0,0,0,0,500.11,1,1
2,0xe4002ba0f2c2dd70,"2023-10-22 04:18:38",63,"2023-10-22-666",217,218,219,0,0,0,0,1000.0,2,1
2,0xe4002ba0f2c2dd70,"2023-10-22 04:18:38",63,"2023-10-22-666",221,222,223,0,0,0,0,100.0,2,0
2,0xe4002ba0f2c2dd70,"2023-10-22 04:18:38",63,"2023-10-22-937nsjusu 3894",205,206,207,0,0,0,0,500.0,2,0
2,0xe4002ba0f2c2dd70,"2023-10-22 04:18:38",63,"2023-10-22-937nsjusu 3894",208,209,0,0,0,0,0,5.0,20,1
2,0xe4002ba0f2c2dd70,"2023-10-22 04:18:38",63,"2023-10-22-937nsjusu 3894",210,211,0,0,0,0,0,100.0,6,0
2,0xe4002ba0f2c2dd70,"2023-10-22 04:18:38",63,"2023-10-22-s1037nsjusu4s3894",212,213,207,0,0,0,0,15.0,10,0
